Iteração;KNN; AD; NB; SVM; MLP;;;;KNN; AD; NB; SVM; MLP
1;0,807692;0,769231;0,403846;0,788462;0,75;;;;80;61,5;2;70;52
2;0,788462;0,673077;0,519231;0,846154;0,75;;;;70;32,5;6,5;94;52
3;0,807692;0,634615;0,711538;0,692308;0,653846;;;;80;26;40;35,5;29
4;0,846154;0,711538;0,538462;0,807692;0,692308;;;;94;40;10;80;35,5
5;0,711538;0,538462;0,538462;0,75;0,615385;;;;40;10;10;52;22,5
6;0,788462;0,673077;0,5;0,769231;0,788462;;;;70;32,5;5;61,5;70
7;0,826923;0,769231;0,538462;0,75;0,75;;;;89;61,5;10;52;52
8;0,903846;0,846154;0,653846;0,769231;0,769231;;;;100;94;29;61,5;61,5
9;0,75;0,730769;0,307692;0,730769;0,653846;;;;52;44,5;1;44,5;29
10;0,711538;0,692308;0,519231;0,826923;0,75;;;;40;35,5;6,5;89;52
11;0,711538;0,788462;0,596154;0,807692;0,788462;;;;40;70;17,5;80;70
12;0,807692;0,653846;0,557692;0,788462;0,75;;;;80;29;14;70;52
13;0,884615;0,596154;0,461538;0,826923;0,807692;;;;98;17,5;3,5;89;80
14;0,865385;0,807692;0,615385;0,807692;0,788462;;;;96;80;22,5;80;70
15;0,615385;0,596154;0,461538;0,75;0,615385;;;;22,5;17,5;3,5;52;22,5
16;0,807692;0,730769;0,596154;0,769231;0,730769;;;;80;44,5;17,5;61,5;44,5
17;0,884615;0,653846;0,557692;0,807692;0,75;;;;98;29;14;80;52
18;0,826923;0,692308;0,557692;0,884615;0,769231;;;;89;35,5;14;98;61,5
19;0,75;0,615385;0,615385;0,826923;0,788462;;;;52;22,5;22,5;89;70
20;0,826923;0,769231;0,538462;0,826923;0,807692;;;;89;61,5;10;89;80
Média;0,796154;0,697115;0,539423;0,791346;0,738462;;;;;;;;
Desvio Padrão;0,069444093346285;0,078086129383825;0,086104748802781;0,043546015841033;0,058771934594052;;;;T: 1459,5;T: 845;T: 259;T: 1428,5;T: 1058
;;;;;;;;;;;;;
;;;;;;;;;n: 20;n: 20;n: 20;n: 20;n: 20
